Student ID,grade,school_name,reading_score,math_score
0,9th,Huang High School,66,79
1,12th,Huang High School,94,61
2,12th,Huang High School,90,60
3,12th,Huang High School,67,58
4,9th,Huang High School,97,84
5,9th,Huang High School,94,94
6,11th,Huang High School,82,80
7,12th,Huang High School,96,69
8,10th,Huang High School,95,87
9,10th,Huang High School,96,84
10,10th,Huang High School,90,70
11,10th,Huang High School,78,77
12,9th,Huang High School,64,79
13,9th,Huang High School,71,79
14,10th,Huang High School,85,67
15,11th,Huang High School,94,88
16,9th,Huang High School,88,55
17,9th,Huang High School,74,75
18,9th,Huang High School,64,69
19,9th,Huang High School,89,80
20,10th,Huang High School,91,89
21,10th,Huang High School,90,77
22,11th,Huang High School,99,84
23,9th,Huang High School,81,68
24,11th,Huang High School,85,73
25,9th,Huang High School,92,70
26,9th,Huang High School,63,85
27,10th,Huang High School,80,58
28,11th,Huang High School,73,55
29,12th,Huang High School,90,88
30,9th,Huang High School,94,99
31,10th,Huang High School,97,65
32,11th,Huang High School,93,90
33,12th,Huang High School,95,68
34,11th,Huang High School,65,74
35,10th,Huang High School,99,61
36,10th,Huang High School,76,76
37,10th,Huang High School,63,66
38,12th,Huang High School,73,77
39,9th,Huang High School,80,61
40,9th,Huang High School,79,69
41,11th,Huang High School,85,95
42,9th,Huang High School,65,89
43,9th,Huang High School,66,90
44,10th,Huang High School,75,66
45,11th,Huang High School,64,93
46,12th,Huang High School,73,59
47,11th,Huang High School,77,81
48,9th,Huang High School,76,66
49,10th,Huang High School,73,93
50,10th,Huang High School,82,95
51,11th,Huang High School,91,56
52,12th,Huang High School,69,78
53,9th,Huang High School,96,69
54,9th,Huang High School,83,68
55,12th,Huang High School,95,71
56,11th,Huang High School,72,72
57,9th,Huang High School,97,56
58,11th,Huang High School,74,84
59,9th,Huang High School,88,70
60,9th,Huang High School,63,89
61,9th,Huang High School,64,95
62,11th,Huang High School,74,65
63,11th,Huang High School,77,61
64,12th,Huang High School,87,57
65,11th,Huang High School,74,60
66,10th,Huang High School,77,93
67,12th,Huang High School,70,60
68,12th,Huang High School,65,82
69,11th,Huang High School,75,89
70,12th,Huang High School,70,60
71,10th,Huang High School,93,68
72,12th,Huang High School,82,65
73,10th,Huang High School,72,94
74,10th,Huang High School,85,85
75,10th,Huang High School,87,62
76,9th,Huang High School,78,76
77,12th,Huang High School,83,76
78,12th,Huang High School,99,57
79,9th,Huang High School,74,81
80,10th,Huang High School,67,70
81,12th,Huang High School,94,73
82,11th,Huang High School,81,57
83,12th,Huang High School,64,76
84,10th,Huang High School,77,63
85,10th,Huang High School,94,60
86,10th,Huang High School,93,84
87,10th,Huang High School,85,56
88,10th,Huang High School,90,70
89,11th,Huang High School,70,78
90,9th,Huang High School,99,86
91,10th,Huang High School,96,98
92,9th,Huang High School,75,72
93,10th,Huang High School,84,91
94,12th,Huang High School,86,61
95,11th,Huang High School,89,58
96,9th,Huang High School,77,72
97,11th,Huang High School,82,87
98,10th,Huang High School,99,89
99,10th,Huang High School,87,63
100,12th,Huang High School,69,67
101,10th,Huang High School,72,57
102,11th,Huang High School,74,58
103,12th,Huang High School,86,74
104,9th,Huang High School,75,66
105,11th,Huang High School,82,95
106,10th,Huang High School,76,86
107,12th,Huang High School,68,88
108,12th,Huang High School,77,67
109,9th,Huang High School,78,62
110,10th,Huang High School,67,77
111,9th,Huang High School,70,79
112,10th,Huang High School,88,67
113,12th,Huang High School,85,73
114,12th,Huang High School,88,86
115,12th,Huang High School,79,60
116,11th,Huang High School,75,69
117,10th,Huang High School,80,90
118,12th,Huang High School,66,68
119,10th,Huang High School,65,80
120,12th,Huang High School,88,81
121,11th,Huang High School,78,76
122,10th,Huang High School,98,57
123,9th,Huang High School,88,77
124,11th,Huang High School,63,65
125,11th,Huang High School,79,63
126,12th,Huang High School,93,66
127,10th,Huang High School,74,89
128,11th,Huang High School,70,81
129,11th,Huang High School,65,79
130,9th,Huang High School,77,71
131,9th,Huang High School,63,77
132,9th,Huang High School,79,57
133,9th,Huang High School,95,95
134,9th,Huang High School,83,59
135,12th,Huang High School,80,79
136,12th,Huang High School,66,58
137,12th,Huang High School,86,92
138,9th,Huang High School,74,91
139,11th,Huang High School,97,75
140,12th,Huang High School,76,67
141,9th,Huang High School,99,71
142,11th,Huang High School,78,76
143,11th,Huang High School,82,73
144,10th,Huang High School,98,73
145,9th,Huang High School,78,71
146,10th,Huang High School,98,90
147,10th,Huang High School,90,67
148,10th,Huang High School,85,58
149,12th,Huang High School,81,91
150,9th,Huang High School,78,99
151,9th,Huang High School,66,56
152,11th,Huang High School,66,92
153,10th,Huang High School,85,82
154,11th,Huang High School,83,77
155,12th,Huang High School,82,73
156,9th,Huang High School,88,82
157,11th,Huang High School,76,92
158,9th,Huang High School,66,67
159,12th,Huang High School,88,73
160,12th,Huang High School,75,98
161,11th,Huang High School,68,88
162,10th,Huang High School,72,56
163,11th,Huang High School,83,98
164,12th,Huang High School,85,61
165,11th,Huang High School,70,87
166,12th,Huang High School,95,72
167,10th,Huang High School,64,84
168,10th,Huang High School,64,85
169,10th,Huang High School,98,67
170,10th,Huang High School,65,82
171,10th,Huang High School,79,78
172,10th,Huang High School,94,71
173,10th,Huang High School,92,62
174,9th,Huang High School,85,97
175,10th,Huang High School,70,82
176,11th,Huang High School,80,80
177,9th,Huang High School,65,79
178,10th,Huang High School,95,61
179,11th,Huang High School,76,56
180,11th,Huang High School,84,83
181,11th,Huang High School,92,99
182,9th,Huang High School,88,55
183,9th,Huang High School,73,91
184,12th,Huang High School,89,63
185,11th,Huang High School,94,92
186,10th,Huang High School,96,76
187,12th,Huang High School,78,90
188,11th,Huang High School,65,61
189,10th,Huang High School,77,61
190,11th,Huang High School,86,96
191,10th,Huang High School,96,59
192,12th,Huang High School,68,63
193,11th,Huang High School,89,59
194,12th,Huang High School,72,56
195,11th,Huang High School,86,60
196,11th,Huang High School,63,89
197,9th,Huang High School,63,69
198,9th,Huang High School,86,55
199,10th,Huang High School,85,99
200,12th,Huang High School,85,85
201,9th,Huang High School,96,66
202,12th,Huang High School,83,61
203,10th,Huang High School,82,72
204,9th,Huang High School,71,56
205,11th,Huang High School,94,83
206,11th,Huang High School,91,92
207,9th,Huang High School,88,76
208,9th,Huang High School,83,86
209,11th,Huang High School,86,96
210,9th,Huang High School,63,79
211,10th,Huang High School,83,76
212,10th,Huang High School,64,87
213,12th,Huang High School,71,61
214,11th,Huang High School,70,66
215,9th,Huang High School,65,79
216,12th,Huang High School,79,98
217,11th,Huang High School,96,68
218,11th,Huang High School,66,62
219,9th,Huang High School,87,79
220,9th,Huang High School,77,77
221,9th,Huang High School,90,88
222,9th,Huang High School,94,78
223,11th,Huang High School,64,56
224,10th,Huang High School,93,90
225,10th,Huang High School,89,87
226,9th,Huang High School,80,76
227,12th,Huang High School,89,69
228,11th,Huang High School,66,65
229,9th,Huang High School,99,78
230,10th,Huang High School,76,64
231,11th,Huang High School,74,89
232,9th,Huang High School,97,55
233,12th,Huang High School,77,98
234,10th,Huang High School,78,93
235,12th,Huang High School,88,97
236,9th,Huang High School,90,71
237,11th,Huang High School,88,92
238,12th,Huang High School,87,83
239,9th,Huang High School,70,81
240,10th,Huang High School,70,94
241,11th,Huang High School,95,83
242,11th,Huang High School,75,92
243,9th,Huang High School,78,96
244,10th,Huang High School,95,59
245,9th,Huang High School,99,72
246,10th,Huang High School,64,78
247,10th,Huang High School,68,60
248,9th,Huang High School,86,69
249,11th,Huang High School,70,79
250,11th,Huang High School,95,97
251,9th,Huang High School,80,78
252,10th,Huang High School,99,66
253,12th,Huang High School,96,72
254,9th,Huang High School,82,60
255,10th,Huang High School,64,62
256,11th,Huang High School,74,76
257,10th,Huang High School,68,90
258,10th,Huang High School,97,61
259,11th,Huang High School,99,69
260,11th,Huang High School,76,56
261,9th,Huang High School,83,97
262,11th,Huang High School,68,61
263,10th,Huang High School,93,62
264,10th,Huang High School,91,91
265,12th,Huang High School,76,83
266,12th,Huang High School,83,92
267,12th,Huang High School,70,81
268,9th,Huang High School,74,91
269,11th,Huang High School,86,68
270,11th,Huang High School,78,99
271,12th,Huang High School,93,75
272,9th,Huang High School,73,58
273,9th,Huang High School,82,64
274,11th,Huang High School,98,76
275,12th,Huang High School,86,89
276,9th,Huang High School,78,98
277,9th,Huang High School,67,74
278,10th,Huang High School,80,99
279,10th,Huang High School,63,68
280,9th,Huang High School,92,72
281,9th,Huang High School,67,78
282,12th,Huang High School,73,82
283,10th,Huang High School,77,56
284,10th,Huang High School,92,64
285,9th,Huang High School,66,59
286,10th,Huang High School,73,73
287,9th,Huang High School,71,69
288,11th,Huang High School,63,67
289,10th,Huang High School,82,64
290,12th,Huang High School,80,60
291,12th,Huang High School,89,79
